Bayonne,Sans information,0
Ruffec,Sans information,0
Antony,Très bien,46
Auzeville-Tolosane,Très bien,1
Peltre,Très bien avec félicitations du jury,0
Saint-Ismier,Sans mention,6
Montluel,Assez bien,4
Belfort,Assez bien,278
Angoulême,Assez bien,183
Suresnes,Très bien avec félicitations du jury,0
Rochefort-Montagne,Sans information,0
Chasseneuil-du-Poitou,Sans information,0
La Roche-Jaudy,Sans information,0
Mana,Très bien,0
Bures-sur-Yvette,Sans information,0
Colomiers,Sans information,1
Mougins,Très bien avec félicitations du jury,0
Saint-Laurent-de-Chamousset,Très bien,2
La Garde,Sans mention,827
Vals-près-le-Puy,Assez bien,4
Conflans-Sainte-Honorine,Sans mention,8
Blagnac,Bien,90
Pontivy,Sans mention,83
Epinal,Très bien avec félicitations du jury,0
Sarrebourg,Sans information,0
Condé-sur-l'Escaut,Sans information,0
Jacob-Bellecombette,Bien,215
Sète,Assez bien,125
Saint-Maur-des-Fossés,Très bien avec félicitations du jury,28
Châteaudun,Bien,7
Meaux,Très bien avec félicitations du jury,2
Jacou,Sans mention,9
Châteaulin,Sans information,0
Taiarapu-ouest,Très bien,4
Sassenage,Sans mention,15
Corte,Sans information,0
Savigny-le-Temple,Bien,2
Goussainville,Bien,6
Saint-Paul-Trois-Châteaux,Sans information,0
Moirans-en-Montagne,Bien,4
Les Loges-Margueron,Très bien avec félicitations du jury,0
Sada,Assez bien,27
Saint-Ouen-sur-Seine,Très bien,6
Verdun,Assez bien,55
Abbeville,Sans mention,45
Arnouville,Sans information,0
Villemomble,Assez bien,25
Misérieux,Sans information,0
Toulon,Sans information,0
Aureilhan,Très bien avec félicitations du jury,0
Pontault-Combault,Bien,0
Rombas,Très bien avec félicitations du jury,0
Provins,Sans mention,31
Massy,Très bien avec félicitations du jury,0
Maisons-Alfort,Bien,10
Auray,Sans information,0
Rodez,Très bien avec félicitations du jury,0
Paris  6e  Arrondissement,Assez bien,2458
Meudon,Sans mention,5
Château-Renault,Sans mention,1
Illkirch-Graffenstaden,Très bien avec félicitations du jury,1
Lens,Bien,235
Ondes,Sans mention,4
Arcueil,Très bien,0
Thann,Sans information,0
Thann,Assez bien,4
Vallon-Pont-d'Arc,Sans information,0
Isle,Bien,11
Décines-Charpieu,Très bien,1
Creil,Assez bien,100
Saint-Ouen-sur-Seine,Sans information,0
Hyères,Assez bien,32
Saint-Chély-d'Apcher,Très bien,3
Uturoa,Sans mention,17
Saint-Herblain,Assez bien,9
Bernay,Sans information,0
Derval,Sans mention,8
Royan,Bien,4
L'Isle-d'Abeau,Bien,4
Nemours,Très bien avec félicitations du jury,0
Foulayronnes,Assez bien,1
Plombières-lès-Dijon,Bien,0
Montrouge,Très bien,4
Joué-lès-Tours,Très bien avec félicitations du jury,0
Albertville,Bien,5
Lormont,Sans mention,34
Levallois-Perret,Bien,16
Torcy,Sans information,0
Aubervilliers,Très bien,5
Sceaux,Bien,531
Albert,Sans information,0
Saint-Pée-sur-Nivelle,Très bien avec félicitations du jury,0
La Ciotat,Sans mention,17
Le Teil,Sans mention,8
Avallon,Assez bien,5
Tréguier,Très bien avec félicitations du jury,0
La Canourgue,Bien,1
Pruillé-le-Chétif,Sans mention,0
Tonnerre,Bien,0
Mirande,Bien,1
Molsheim,Très bien avec félicitations du jury,0
Papara,Assez bien,17
Paimpol,Bien,7
Le Lorrain,Très bien,0
Avignon,Très bien avec félicitations du jury,7
Roville-aux-Chênes,Très bien avec félicitations du jury,0
Avion,Très bien avec félicitations du jury,0
Jouy-en-Josas,Bien,2
Port-Louis,Bien,7
Cesson-Sévigné,Bien,13
Nanterre,Très bien,407
Cuffies,Bien,33
Le Rheu,Très bien,7
Essey-lès-Nancy,Sans information,0
Caen,Sans information,0
Beaugency,Très bien avec félicitations du jury,0
Anglet,Assez bien,304
Arnage,Très bien,0
Cergy,Assez bien,1364
Courbevoie,Assez bien,338
Le Touquet-Paris-Plage,Bien,17
Vandoeuvre-lès-Nancy,Bien,129
Treffiagat,Sans information,0
Bègles,Sans mention,93
Athis-Mons,Bien,15
Montceau-les-Mines,Assez bien,21
Montreuil,Très bien avec félicitations du jury,0
Friville-Escarbotin,Sans information,0
Villemandeur,Bien,6
Châlons-en-Champagne,Très bien,12
Châteauneuf-de-Galaure,Sans information,0
Saint-Chamas,Sans information,0
Magnanville,Très bien avec félicitations du jury,0
Verdalle,Très bien,0
Epron,Sans information,0
Graulhet,Sans information,0
Le Rheu,Assez bien,37
Rouen,Très bien avec félicitations du jury,66
Fondettes,Sans information,0
Dreux,Assez bien,52
Angers,Assez bien,2414
Bouxwiller,Très bien,0
Saint-Martin-Boulogne,Sans mention,93
Laval,Très bien avec félicitations du jury,0
Montdidier,Assez bien,7
